target,window,key,donor_r,status,Tc,moment_err
AsZr,0.15,346,1.1417771517915833,tilt_failed,,
AsZr,0.15,622,1.189229986348954,ok,8.830098108003362,8.660183681286071e-12
AsZr,0.15,709,1.051692746799368,tilt_failed,,
AsZr,0.40,3,1.2264104119995611,ok,8.809835354016332,1.1785017406396037e-11
AsZr,0.40,402,1.1421309306183856,tilt_failed,,
AsZr,0.40,809,1.318700227235636,ok,8.809835354016332,4.6629367034256575e-15
AsZr,0.40,543,1.3428091909843654,ok,8.78378324174729,3.341771304121721e-14
AsZr,0.40,823,1.151419329299825,tilt_failed,,
AsZr,0.40,465,1.0275174753837455,tilt_failed,,
AsZr,0.40,61,1.1896608565745292,ok,8.840229484996879,3.63626906363379e-11
AsZr,0.40,496,1.074112088120181,tilt_failed,,
AsZr,0.40,719,1.207429093873524,ok,8.817072051868841,2.2766744045554788e-10
AsZr,0.40,438,1.079207962602121,tilt_failed,,
AsZr,0.40,355,1.2629755899473643,ok,8.810559023801584,1.8496315590255108e-13
AsZr,0.40,730,1.0660600071307267,tilt_failed,,
AsZr,0.40,666,1.1401459351239513,tilt_failed,,
AsZr,0.40,681,1.4598782889936575,ok,8.806217005090076,1.9984014443252818e-15
AsZr,0.40,232,1.3388972283626686,ok,8.801874986378571,8.08242361927114e-14
AsZr,0.40,351,1.2296345688578563,ok,8.791019939599803,8.547385021984155e-12
AsZr,0.40,420,1.1476294123051554,tilt_failed,,
AsZr,0.40,258,1.637894953676489,ok,8.836611136070623,6.598832591464543e-11
AsZr,0.40,20,1.617458444836998,ok,8.809835354016332,3.568763062844482e-10
AsZr,0.40,319,1.2982022868066938,ok,8.791019939599803,5.701883409869879e-12
AsZr,0.40,113,1.5055184596021824,ok,8.832992787144367,2.4202861936828413e-14
AsZr,0.40,598,1.0668108099770908,tilt_failed,,
AsZr,0.40,748,1.694493506989641,ok,8.93647756643528,2.220446049250313e-16
AsZr,0.40,579,1.111259314048245,tilt_failed,,
AsZr,0.40,118,1.143882983505564,tilt_failed,,
AsZr,0.40,423,1.4870029114220686,ok,8.784506911532542,8.881784197001252e-16
AsZr,0.40,320,1.166710430208393,tilt_failed,,
AsZr,0.40,437,1.1825567466401468,ok,8.838782145426375,1.3289369604763124e-13
AsZr,0.40,743,1.4645744456970498,ok,8.810559023801584,7.771561172376096e-16
AsZr,0.40,816,1.197729369049827,ok,8.806940674875328,1.4031221740040678e-09
AsZr,all,318,1.5619313928759844,ok,8.787401590673547,1.723066134218243e-13
AsZr,all,728,1.185661417883195,ok,8.870623615977426,1.6820203008194312e-09
AsZr,all,502,1.3294383485105485,ok,8.805493335304824,3.3306690738754696e-16
AsZr,all,675,1.162111940051532,tilt_failed,,
AsZr,all,564,1.2228748677795211,ok,8.806217005090076,8.43769498715119e-15
